;cat 1;cat 2;cat 3;cat 4;cat 5;cat final;url;url_node;node
28;Crafts, Hobbies & Home;Weddings;0;0;0;finale;https://www.amazon.com/s?bbn=156699011&rh=n%3A133140011%2Cn%3A154606011%2Cn%3A156699011%2Cn%3A156914011&dc&qid=1660771909&rnid=156699011&ref=lp_156699011_nr_n_7;https://www.amazon.com/s?i=digital-text&rh=n%3A156914011&fs=true&page=1;3A156914011
29;Foreign Languages;Chinese (Traditional);0;0;0;finale;https://www.amazon.com/s?bbn=7735160011&rh=n%3A133140011%2Cn%3A154606011%2Cn%3A7735160011%2Cn%3A18327575011&dc&qid=1660771916&rnid=7735160011&ref=lp_7735160011_nr_n_2;https://www.amazon.com/s?i=digital-text&rh=n%3A18327575011&fs=true&page=1;3A18327575011
30;Health, Fitness & Dieting;Death & Grief;0;0;0;finale;https://www.amazon.com/s?bbn=156430011&rh=n%3A133140011%2Cn%3A154606011%2Cn%3A156430011%2Cn%3A156448011&dc&qid=1660771919&rnid=156430011&ref=lp_156430011_nr_n_4;https://www.amazon.com/s?i=digital-text&rh=n%3A156448011&fs=true&page=1;3A156448011
31;Health, Fitness & Dieting;Reference;0;0;0;finale;https://www.amazon.com/s?bbn=156430011&rh=n%3A133140011%2Cn%3A154606011%2Cn%3A156430011%2Cn%3A156555011&dc&qid=1660771919&rnid=156430011&ref=lp_156430011_nr_n_10;https://www.amazon.com/s?i=digital-text&rh=n%3A156555011&fs=true&page=1;3A156555011
32;Health, Fitness & Dieting;Safety & First Aid;0;0;0;finale;https://www.amazon.com/s?bbn=156430011&rh=n%3A133140011%2Cn%3A154606011%2Cn%3A156430011%2Cn%3A156562011&dc&qid=1660771919&rnid=156430011&ref=lp_156430011_nr_n_12;https://www.amazon.com/s?i=digital-text&rh=n%3A156562011&fs=true&page=1;3A156562011
33;Health, Fitness & Dieting;Sex;0;0;0;finale;https://www.amazon.com/s?bbn=156430011&rh=n%3A133140011%2Cn%3A154606011%2Cn%3A156430011%2Cn%3A156575011&dc&qid=1660771919&rnid=156430011&ref=lp_156430011_nr_n_13;https://www.amazon.com/s?i=digital-text&rh=n%3A156575011&fs=true&page=1;3A156575011
34;Health, Fitness & Dieting;Sports Health & Safety;0;0;0;finale;https://www.amazon.com/s?bbn=156430011&rh=n%3A133140011%2Cn%3A154606011%2Cn%3A156430011%2Cn%3A11717492011&dc&qid=1660771919&rnid=156430011&ref=lp_156430011_nr_n_14;https://www.amazon.com/s?i=digital-text&rh=n%3A11717492011&fs=true&page=1;3A11717492011
35;Health, Fitness & Dieting;Teen Health;0;0;0;finale;https://www.amazon.com/s?bbn=156430011&rh=n%3A133140011%2Cn%3A154606011%2Cn%3A156430011%2Cn%3A11717493011&dc&qid=1660771919&rnid=156430011&ref=lp_156430011_nr_n_15;https://www.amazon.com/s?i=digital-text&rh=n%3A11717493011&fs=true&page=1;3A11717493011
36;History;Polar Regions;0;0;0;finale;https://www.amazon.com/s?bbn=156576011&rh=n%3A133140011%2Cn%3A154606011%2Cn%3A156576011%2Cn%3A156635011&dc&qid=1660771922&rnid=156576011&ref=lp_156576011_nr_n_3;https://www.amazon.com/s?i=digital-text&rh=n%3A156635011&fs=true&page=1;3A156635011
37;History;Food & Cooking;0;0;0;finale;https://www.amazon.com/s?bbn=156576011&rh=n%3A133140011%2Cn%3A154606011%2Cn%3A156576011%2Cn%3A156188011&dc&qid=1660771922&rnid=156576011&ref=lp_156576011_nr_n_7;https://www.amazon.com/s?i=digital-text&rh=n%3A156188011&fs=true&page=1;3A156188011
